,level_0,index,PLAYER_NAME,player_impact_estimate,GAME_COUNT
130,130,183,Gordon Hayward,11.125968455357578,81
131,131,427,Robert Covington,11.089957683636912,36
132,132,77,Collin Sexton,11.043026710299687,82
133,133,257,Joe Harris,11.000608636036862,84
134,134,117,Dennis Schroder,10.955939735348448,86
135,135,294,Kadeem Allen,10.916294269403378,20
136,136,379,Mitchell Robinson,10.828942222580901,68
137,137,335,Lonzo Ball,10.807671887905403,47
138,138,472,Terrence Ross,10.747273259950198,86
139,139,468,Taj Gibson,10.720794227180662,77
140,140,4,Al-Farouq Aminu,10.637590309714712,98
141,141,182,Goran Dragic,10.426809375908888,42
142,142,484,Tomas Satoransky,10.183803640649682,80
143,143,50,Brook Lopez,10.076332524931916,97
144,144,118,Dennis Smith Jr.,10.038664225558806,55
145,145,242,Jeff Green,10.01713245118929,80
146,146,303,Kenneth Faried,9.912458839148748,93
147,147,163,Evan Fournier,9.883576274968606,86
148,148,300,Kelly Olynyk,9.80216961352429,82
149,149,360,Marvin Williams,9.786574430758456,76
150,150,469,Taurean Prince,9.763703844457066,58
151,151,123,Derrick White,9.75582064107329,75
152,152,90,Damyean Dotson,9.739328805479468,80
153,153,381,Monte Morris,9.674879974581982,96
154,154,208,J.J. Barea,9.59933566557284,39
155,155,386,Nemanja Bjelica,9.583268443524723,81
156,156,450,Shai Gilgeous-Alexander,9.577927046723802,88
157,157,114,Delon Wright,9.539743958670849,76
158,158,151,Ed Davis,9.52794319763451,85
159,159,289,Justin Holiday,9.499590790080958,82
160,160,494,Trey Burke,9.493307376859114,72
161,161,425,Richaun Holmes,9.44659585067951,75
162,162,160,Eric Gordon,9.417706408879178,82
163,163,254,Joakim Noah,9.332133947800338,51
165,165,504,Tyler Johnson,9.292344898468865,64
166,166,173,Gary Harris,9.227585228338512,74
167,167,406,Patrick Beverley,9.183947278814358,84
168,168,98,Dario Saric,9.14792092560086,81
170,170,422,Reggie Bullock,9.14216601766522,72
171,171,6,Alec Burks,9.08544945794109,77
172,172,213,JaMychal Green,9.035584018861359,76
173,173,402,P.J. Tucker,9.004267265247172,93
174,174,511,Tyus Jones,8.948560836324885,72
175,175,25,Ante Zizic,8.86928913534016,75
176,176,217,Jae Crowder,8.845793107948563,85
177,177,340,Luke Kennard,8.814940401091873,69
178,178,207,Ivica Zubac,8.798234179991566,85
179,179,14,Allonzo Trier,8.775825004204963,65
180,180,131,Dion Waiters,8.768555808787294,47
181,181,371,Mikal Bridges,8.76362940984413,82
182,182,305,Kent Bazemore,8.741115717158007,67
183,183,361,Mason Plumlee,8.733232259097612,96
184,184,111,DeMarre Carroll,8.675611658095768,74
185,185,169,Fred VanVleet,8.674268647407699,89
186,186,272,Jonathan Isaac,8.664097103709858,80
187,187,9,Alex Len,8.66080399273371,79
188,188,525,Will Barton,8.62814266502038,57
189,189,239,Jaylen Brown,8.608485876022378,84
190,190,53,Bryn Forbes,8.507083886077245,89
191,191,18,Andre Iguodala,8.489914418202577,90
192,192,306,Kentavious Caldwell-Pope,8.434000312590566,82
193,193,431,Rodney Hood,8.391274300341273,96
194,194,354,Marcus Smart,8.35457101451365,82
195,195,221,Jalen Brunson,8.310902634838845,81
196,196,440,Ryan Arcidiacono,8.308278027146184,82
197,197,429,Robin Lopez,8.222557273753694,82
198,198,79,Cory Joseph,8.214297566138402,86
199,199,355,Mario Hezonja,8.095884993746784,73
200,200,434,Rondae Hollis-Jefferson,8.083683749159508,76
201,201,473,Terry Rozier,8.037254841610594,88
202,202,164,Evan Turner,8.000692128860818,90
203,203,518,Wayne Ellington,7.999114582146489,82
204,204,449,Shabazz Napier,7.938600393700268,81
205,205,486,Tony Parker,7.920608897300026,64
206,206,308,Kevin Huerter,7.8902352587251166,78
207,207,281,Josh Jackson,7.803044911849405,79
208,208,8,Alex Caruso,7.799546531867832,30
209,209,346,Malik Beasley,7.794446602665435,95
210,210,108,DeAndre' Bembry,7.789798573273131,82
211,211,524,Wesley Matthews,7.7825013893210695,73
212,212,527,Willy Hernangomez,7.682707576476895,81
213,213,94,Danny Green,7.681613508592902,104
214,214,218,Jahlil Okafor,7.654930163533642,77
215,215,166,Frank Kaminsky,7.651850811287277,80
216,216,341,Luke Kornet,7.628560596939461,63
217,217,409,Patty Mills,7.5617350981859595,89
218,218,150,E'Twaun Moore,7.559621573049179,63
219,219,405,Pat Connaughton,7.506983151482787,96
